question_id,question,question_intent,gold_chunk_id,gold_doc_id,retrieved_chunk_ids,rank_of_first_relevant,retrieved_in_top_k,notes
1,What architectural components are removed in the Transformer model?,definition,1,1,56|630|276|130|232|61|609|618|536|54|178|17|488|565|627|491|291|1|364|83,18,FALSE,relevant chunk retrieved but ranked low
2,What aspect of recurrent neural networks prevents parallelization during training?,mechanism,6,1,630|536|61|56|130|54|276|17|232|565|62|581|1|291|84|49|518|15|572|123,—,FALSE,relevant chunk not retrieved in inspect_k
3,What capability do attention mechanisms provide for modeling dependencies in sequences?,capability,7,1,630|130|56|536|61|17|54|276|232|581|15|627|62|495|109|386|49|565|31|24,—,FALSE,relevant chunk not retrieved in inspect_k
4,What mechanism does the Transformer rely on instead of recurrence?,definition,8,1,56|630|130|276|232|178|627|61|565|609|491|618|17|580|536|54|291|561|20|83,—,FALSE,relevant chunk not retrieved in inspect_k
5,How does the number of operations required to relate distant positions differ between convolutional models and the Transformer?,comparative,9,1,41|8|591|586|573|538|9|572|31|529|26|588|38|517|4|53|300|6|612|562,7,FALSE,relevant chunk retrieved outside top_k
6,How is self-attention defined?,definition,10,1,595|375|628|627|131|171|568|241|178|220|395|630|565|616|228|195|636|274|545|299,—,FALSE,relevant chunk not retrieved in inspect_k
7,What distinguishes the Transformer from earlier transduction models?,definition,11,1,56|630|276|232|130|536|61|491|17|178|609|627|54|1|83|565|229|618|591|571,—,FALSE,relevant chunk not retrieved in inspect_k
8,What overall encoderâ€“decoder architecture does the Transformer use?,definition,13,1,605|431|384|491|523|54|522|56|124|354|130|171|509|627|432|393|397|67|84|617,—,FALSE,relevant chunk not retrieved in inspect_k
9,What two sub-layers make up each encoder layer?,definition,14,1,627|576|565|630|491|178|628|274|580|56|616|352|55|609|59|132|276|232|182|241,—,FALSE,relevant chunk not retrieved in inspect_k
10,What additional sub-layer is added to each decoder layer?,definition,15,1,491|565|56|627|630|130|232|178|276|59|1|11|17|274|182|15|555|609|48|61,16,FALSE,relevant chunk retrieved but ranked low
11,Why is masking applied in the decoder self-attention layer?,mechanism,16,1,56|565|627|491|630|232|130|276|178|1|61|536|59|11|182|488|257|17|291|83,—,FALSE,relevant chunk not retrieved in inspect_k
12,What operation is applied to scaled dot products before weighting the values?,mechanism,18,1,630|56|61|536|276|130|17|54|1|232|62|565|291|49|581|31|83|627|182|84,—,FALSE,relevant chunk not retrieved in inspect_k
13,What advantage does multi-head attention provide?,capability,21,1,491|576|627|565|630|56|580|130|628|232|274|178|276|128|17|55|182|1|241|609,—,FALSE,relevant chunk not retrieved in inspect_k
14,How are illegal attention connections prevented in the decoder?,mechanism,25,1,56|627|565|130|630|232|178|276|59|1|83|536|491|291|61|182|11|17|15|62,—,FALSE,relevant chunk not retrieved in inspect_k
15,What is the functional form of the position-wise feed-forward network?,mechanism,26,1,56|630|276|232|130|536|609|178|17|62|229|61|491|83|1|226|291|20|31|49,—,FALSE,relevant chunk not retrieved in inspect_k
16,What mathematical functions are used to construct positional encodings?,mechanism,30,1,56|630|276|130|232|609|61|536|17|178|62|488|49|83|1|182|291|229|20|84,—,FALSE,relevant chunk not retrieved in inspect_k
17,How do statistical language models compute the probability of text?,definition,66,2,56|630|276|491|232|130|61|178|627|536|488|609|17|618|291|1|62|565|49|83,—,FALSE,relevant chunk not retrieved in inspect_k
18,What context length does an n-gram model condition on?,definition,67,2,491|627|630|565|56|178|276|576|59|128|232|17|555|130|182|11|580|1|536|291,—,FALSE,relevant chunk not retrieved in inspect_k
19,What technique is used to mitigate data sparsity in n-gram models?,mechanism,68,2,56|630|276|130|61|565|491|609|17|232|83|536|178|1|627|618|114|364|291|580,—,FALSE,relevant chunk not retrieved in inspect_k
20,How do neural language models address data sparsity differently from n-gram models?,comparative,70,2,630|130|56|536|232|276|54|61|565|17|62|518|1|15|572|49|163|109|386|581,—,FALSE,relevant chunk not retrieved in inspect_k
21,What property of embedding vectors enables semantic similarity computation?,principle,71,2,56|630|276|130|178|536|232|61|17|83|62|1|627|571|609|491|84|31|565|518,—,FALSE,relevant chunk not retrieved in inspect_k
22,What distinguishes pre-trained language models from early neural language models?,comparative,73,2,630|56|61|536|130|232|17|276|581|1|565|49|54|15|229|62|123|291|572|31,—,FALSE,relevant chunk not retrieved in inspect_k
23,What are the two stages of the pre-training and fine-tuning paradigm?,process,74,2,56|630|232|276|130|536|178|17|609|1|83|84|15|291|627|145|571|62|31|20,—,FALSE,relevant chunk not retrieved in inspect_k
24,How are large language models defined in terms of scale and architecture?,definition,76,2,56|630|130|276|536|232|62|609|61|17|1|178|49|488|20|31|83|54|565|291,—,FALSE,relevant chunk not retrieved in inspect_k
25,What emergent abilities are observed in large language models?,capability,80,2,627|565|56|630|232|276|130|178|59|491|11|182|609|61|121|536|229|1|48|291,—,FALSE,relevant chunk not retrieved in inspect_k
26,What capability does instruction tuning enable?,capability,81,2,627|178|565|576|491|628|274|276|630|56|609|232|580|616|55|241|105|128|228|130,—,FALSE,relevant chunk not retrieved in inspect_k
