question_id,question,question_intent,gold_chunk_id,gold_doc_id,retrieved_chunk_ids,rank_of_first_relevant,retrieved_in_top_k,notes
1,What architectural components are removed in the Transformer model?,definition,1,1,56|630|276|130|232|61|609|618|536|54|178|17|488|565|627|491|291|1|364|83|591|182|62|31|84|571|561|263|138|20|149|241|59|580|15|257|226|616|581|49|327|163|34|161|204|572|41|237|30|517,18,FALSE,relevant chunk retrieved but ranked low
2,What aspect of recurrent neural networks prevents parallelization during training?,mechanism,6,1,630|536|61|56|130|54|276|17|232|565|62|581|1|291|84|49|518|15|572|123|109|561|545|386|182|527|31|616|552|627|591|629|83|570|357|241|557|221|105|204|586|517|525|6|24|80|495|224|529|157,45,FALSE,relevant chunk retrieved but ranked low
3,What capability do attention mechanisms provide for modeling dependencies in sequences?,capability,7,1,630|130|56|536|61|17|54|276|232|581|15|627|62|495|109|386|49|565|31|24|518|557|572|616|308|1|545|552|53|561|517|48|527|89|586|219|204|123|224|609|87|353|632|570|6|10|562|591|85|542,—,FALSE,relevant chunk not retrieved in inspect_k
4,What mechanism does the Transformer rely on instead of recurrence?,definition,8,1,56|630|130|276|232|178|627|61|565|609|491|618|17|580|536|54|291|561|20|83|1|15|182|59|571|591|31|195|488|84|572|263|62|570|257|555|48|299|30|509|105|386|24|364|224|581|545|41|511|34,—,FALSE,relevant chunk not retrieved in inspect_k
5,How does the number of operations required to relate distant positions differ between convolutional models and the Transformer?,comparative,9,1,41|8|591|586|573|538|9|572|31|529|26|588|38|517|4|53|300|6|612|562|528|638|554|17|24|589|219|20|33|552|570|29|85|584|557|3|45|568|533|30|353|5|34|250|7|519|518|527|539|47,7,FALSE,relevant chunk retrieved outside top_k
6,How is self-attention defined?,definition,10,1,595|375|628|627|131|171|568|241|178|220|395|630|565|616|228|195|636|274|545|299|224|327|540|580|578|182|392|113|479|308|257|152|2|105|56|193|35|177|204|87|107|386|376|491|247|621|114|59|344|187,—,FALSE,relevant chunk not retrieved in inspect_k
7,What distinguishes the Transformer from earlier transduction models?,definition,11,1,56|630|276|232|130|536|61|491|17|178|609|627|54|1|83|565|229|618|591|571|31|20|263|291|182|204|561|488|580|84|226|581|572|15|555|62|364|250|187|105|323|49|259|386|6|163|87|264|545|41,—,FALSE,relevant chunk not retrieved in inspect_k
8,What overall encoderâ€“decoder architecture does the Transformer use?,definition,13,1,605|431|384|491|523|54|522|56|124|354|130|171|509|627|432|393|397|67|84|617|177|387|592|186|352|27|129|62|595|227|630|625|503|618|134|364|221|248|370|511|498|87|65|271|224|506|604|121|296|262,—,FALSE,relevant chunk not retrieved in inspect_k
9,What two sub-layers make up each encoder layer?,definition,14,1,627|576|565|630|491|178|628|274|580|56|616|352|55|609|59|132|276|232|182|241|17|536|105|204|21|291|228|130|20|264|121|161|11|83|54|591|31|128|257|552|432|49|15|263|42|323|48|1|61|391,—,FALSE,relevant chunk not retrieved in inspect_k
10,What additional sub-layer is added to each decoder layer?,definition,15,1,491|565|56|627|630|130|232|178|276|59|1|11|17|274|182|15|555|609|48|61|291|536|265|83|20|257|571|2|47|241|128|31|171|58|121|224|576|618|392|552|87|591|49|386|572|54|376|488|546|352,16,FALSE,relevant chunk retrieved but ranked low
